sentence_id,domain_category,english_text,sesotho_text,source,source_reference,translator_code,reviewer_status,notes
3556,Appointments and Follow-Up,Can I confirm what time my appointment is?,Na nka netefatsa nako ea appointment ea ka?,WHO,appointments-followup-v1,,reviewed,
83,HIV,Protein-rich foods help repair body tissues and support immune function in people with HIV.,Lijo tse nang le protheine e ngata (protein-rich foods) li baka hore mmele o khone ho lokisa lisele tse senyehileng (repair body tissues) hape li tšehetsa tšebetso ea masole a mmele (immune function) ho batho ba phelang le HIV.,WHO,hiv-nutrition,,reviewed,
4508,General Patient Education,Avoid sexual contact until your sexually transmitted infection is treated.,Hana ho kopana ka thobalano ho fihlela tšoaetso ea hao e fetisanang ka thobalano e alafoa.,WHO,general-patient-education-v1,,reviewed,
2459,Medication Instructions,Do not take a double dose of an inhaler if you miss one.,U se ke ua nka dose e habeli ea inhaler haeba u lahlehetsoe ke e le ngoe.,WHO,medication-instructions-v1,,reviewed,
3740,Appointments and Follow-Up,I was reminded to wear comfortable clothing for my examination.,Ke khumamisitsoe ho apara liaparo tse lokelang tlhahlobong ea ka.,WHO,appointments-followup-v1,,reviewed,
3782,Appointments and Follow-Up,I must collect my medication before it runs out.,Ke tlameha ho kga moriana oa ka pele ho fela.,WHO,appointments-followup-v1,,reviewed,
2289,Medication Instructions,This medicine may reduce the effectiveness of oral contraceptives.,Moriana ona o ka fokotsa bokgoni ba li-contraceptive tsa molomo.,WHO,medication-instructions-v1,,reviewed,
424,HIV,Cabotegravir plus rilpivirine is a long-acting injectable ART regimen given every two months.,Cabotegravir hammoho le rilpivirine ke leano la ART la ho kenngoa ka mesipi le sebetsang nako e telele le neoang likhoeli tse peli le tse peli.,NIH_HIVinfo,art-long-acting-injectable,,reviewed,
4340,Maternal and Child Health,I would like to have my IUD removed.,Ke rata ho ntšoa IUD ea ka.,WHO,maternal-child-health-v1,,reviewed,
1905,Medication Instructions,"Take two tablets once daily, preferably in the morning.","Nka lipilisi tse peli ka nako e le ngoe letsatsi le leng le le leng, haholo-holo hoseng.",WHO,medication-instructions-v1,,reviewed,
4539,General Patient Education,Increase your fibre intake by eating more vegetables and whole grains.,Eketsa ho nka fibre ka ho ja merogo e mengata le mabele a phethahetseng.,WHO,general-patient-education-v1,,reviewed,
3353,Symptoms and Complaints,I have a decrease in visual acuity.,Ke na le ho fokotseha ha bokgoni ba pono.,WHO,symptoms-complaints-v1,,reviewed,
3103,Symptoms and Complaints,I have a cramping pain in my lower abdomen.,Ke na le mahloko a ho tšoaroa mpeng ea ka e tlase.,WHO,symptoms-complaints-v1,,reviewed,
1566,Tuberculosis,Healthcare workers should wear N95 respirators when caring for TB patients.,Basebetsi ba bophelo bo botle ba lokela ho apara li-respirator tsa N95 ha ba hlokomela bakuli ba TB.,WHO,tb-ppe,,reviewed,
3356,Symptoms and Complaints,I have a rash that is accompanied by fever.,Ke na le ho ruruha ha letlalo ho tsamaeang le feberu.,WHO,symptoms-complaints-v1,,reviewed,
840,HIV,Disclosing your HIV status to a trusted person can reduce isolation and improve wellbeing.,Ho senola boemo ba hau ba HIV ho motho ea tšepahalang ho ka fokotsa ho ikhethela le ho ntlafatsa bophelo bo botle.,WHO,hiv-disclosure-benefits,,reviewed,
501,HIV,I feel very depressed since I found out I have HIV.,Ke ikutloa ke lebala kaha ke fumane hore ke na le HIV.,clinical_fieldwork,patient-hiv-mental-health,,raw,
142,HIV,Anxiety about HIV status and treatment can affect daily life and adherence.,Ho tšoenyeha kapa ho ba le matšoenyeho (anxiety) ka boemo ba hau ba HIV le kalafo ho ka ama bophelo ba hau ba letsatsi le letsatsi le mokhoa oo u neng u tla nka meriana ka oona ka nepo.,NIH_HIVinfo,hiv-mental-health,,reviewed,
1378,Tuberculosis,"When I started ARVs while on TB treatment, my symptoms got worse before they got better.","Ha ke qala ho noa li-ARV ke ntse ke le phekolong ea lefuba (TB), matšoao a ka a ile a mpefala pele a ka loka.",clinical_fieldwork,patient-tb-iris,,reviewed,
3698,Appointments and Follow-Up,The doctor asked about my mental health and stress levels.,Ngaka e botšitse ka bophelo ba kelello ea ka le maemo a khatello.,WHO,appointments-followup-v1,,reviewed,
2145,Medication Instructions,Contact your doctor immediately if you experience chest pain while taking this medicine.,Ikopanye le ngaka ea hau hang hang haeba u ikutloa u na le mahloko a sefuba ha u nka moriana ona.,WHO,medication-instructions-v1,,reviewed,
1139,Tuberculosis,TB bacteria can spread through the lymphatic system to distant organs.,Bakteria ea TB e ka phatlalala ka tsamaiso ea lymphatic ho ea litho tse hole.,NIH,tb-lymphatic-spread,,reviewed,
2928,Symptoms and Complaints,I have a dull ache in my right knee.,Ke na le mahloko a fokolang mangoleng a ka a le letona.,WHO,symptoms-complaints-v1,,reviewed,
1788,Tuberculosis,String test capsules are a non-invasive way to collect TB samples from children.,Li-capsule tsa tlhahlobo ea khoele ke tsela e sa keneng ka hare ea ho kgotha lisampole tsa TB ho bana.,WHO,tb-patch-final,,reviewed,
3485,Symptoms and Complaints,I have a feeling of urgency related to my renal sinus.,Ke na le maikutlo a ho hloka ka potlako a amanang le renal sinus ea ka.,WHO,symptoms-complaints-v1,,reviewed,
551,HIV,People living with HIV can travel internationally but should plan ahead for medicine supplies.,"Batho ba a tsamayang le HIV ba ka ya lefatshe ka ntle, empa ba swanetše go rupela hapelelekele ka medise.",CDC_HIVNexus,hiv-travel,,raw,
4907,General Patient Education,Integrate mental health care into your overall healthcare routine.,Kenyelletsa tlhokomelo ea bophelo ba kelello mekhoaneng ea hao yohle ea tlhokomelo ea bophelo bo botle.,WHO,general-patient-education-v1,,reviewed,
2020,Medication Instructions,Administer the intravenous antibiotic over thirty minutes to reduce vein irritation.,Fana ka antibiotic ea madi ka hare ho metsotso e mashome a mararo ho fokotsa ho khathatsa ha mosela.,WHO,medication-instructions-v1,,reviewed,
949,HIV,"HIV is not transmitted through sharing food, utensils, toilets, or swimming pools.","HIV ha e fetiseloe ka ho arolelana lijo, lisebelisoa tsa lijo, litoilete, kapa lipuleng tsa ho hlapa.",CDC_HIVNexus,hiv-transmission-myths,,reviewed,
2601,Medication Instructions,Do not take your medicine less frequently than prescribed.,U se ke ua nka moriana oa hau hangata e tlase ho e laetsoeng.,WHO,medication-instructions-v1,,reviewed,
533,HIV,Calcium and vitamin D supplements may be recommended for people with low bone density on ART.,Suplemenete ea kalsium le vitamin D e ka kena ho hloka batho ba nang le bone density e tlase ka ART.,WHO,hiv-bone-supplements,,raw,
1830,Medication Instructions,Take one capsule twice daily with plenty of water.,Nka capsule e le ngoe habeli ka letsatsi le metsi a mangata.,WHO,medication-instructions-v1,,reviewed,
2918,Symptoms and Complaints,I have a burning pain in my left hand.,Ke na le mahloko a ho chesa sepateng sa ka sa molema.,WHO,symptoms-complaints-v1,,reviewed,
4419,General Patient Education,Early detection of illness leads to better treatment outcomes.,Ho fumana bolwetse kapele ho lebisa liphetho tse ntle tsa phekolo.,WHO,general-patient-education-v1,,reviewed,
3872,Appointments and Follow-Up,I missed my appointment because I was too sick to travel.,Ke lahlehetsoe ke appointment ea ka hobane ke ne ke kula haholo ho tsamaea.,WHO,appointments-followup-v1,,reviewed,
1603,Tuberculosis,Mental health support should be integrated into TB care services.,Tshehetso ea bophelo ba kelello e lokela ho kopanyoa le litshebeletso tsa tlhokomelo ea TB.,WHO,tb-mental-health,,reviewed,
640,HIV,Health literacy is an important factor in ART adherence.,Ho tseba ho bala le ho ngola ha bophelo bo botle ke ntlha e bohlokoa ho latela ART.,CDC_HIVNexus,art-health-literacy,,reviewed,
4833,General Patient Education,Seek medical care immediately after sexual violence.,Batla tlhokomelo ea bongaka hang hang ka mor'a tlhekefetso ea thobalano.,WHO,general-patient-education-v1,,reviewed,
968,HIV,A negative HIV test result does not rule out recent infection if the test is taken during the window period.,Sephetho se senyenyane sa tlhahlobo ea HIV ha se felise tšoaetso ea morao tjena haeba tlhahlobo e nkoa nakong ea fensetere.,NIH_HIVinfo,hiv-window-period,,reviewed,
4238,Maternal and Child Health,My child has been struggling at school because of a learning disability.,Ngoana oa ka o ntse a na le bothata sekolong ka lebaka la ho hloka bokgoni ba ho ithuta.,WHO,maternal-child-health-v1,,reviewed,
2698,Medication Instructions,Keep a list of all your current medicines and show it to every healthcare provider.,Boloka lethathamo la meriana yohle ea hau ea joale mme u e bontše mofani ofe kafe oa tlhokomelo ea bophelo bo botle.,WHO,medication-instructions-v1,,reviewed,
1684,Tuberculosis,Singing and shouting can release more TB particles into the air than normal breathing.,Ho bina le ho howa ho ka lokolla likaroloana tse ngata tsa TB moeeng ho feta ho hema ha kamehla.,CDC,tb-aerosol-generation,,reviewed,
4471,General Patient Education,Keep your home clean and well ventilated.,Boloka ntlo ea hao e hloekileng le e nang le moea o lekaneng.,WHO,general-patient-education-v1,,reviewed,
2343,Medication Instructions,This medicine may increase the risk of hypotension with other antihypertensives.,Moriana ona o ka eketsa kotsi ea ho fokotseha ha khatello ea mali le li-antihypertensive tse ling.,WHO,medication-instructions-v1,,reviewed,
156,HIV,Nutrition support programmes can improve ART adherence and treatment outcomes.,Mananeo a tšehetso ea phepo e nepahetseng (nutrition support programmes) a ka ntlafatsa mokhoa oa ho khomarela meriana ea ART hammoho le liphetho tse betere tsa kalafo.,FAO,hiv-nutrition-programmes,,reviewed,
2488,Medication Instructions,Give the medicine at evenly spaced intervals throughout the day.,Fana ka moriana ka linako tse lekanang ho pholletsa le letsatsi.,WHO,medication-instructions-v1,,reviewed,
4642,General Patient Education,A chronic disease is a long-term condition that requires ongoing management.,Bolwetse ba tsoelang pele ke boemo ba nako e telele bo hlokang taolo e tsoelang pele.,WHO,general-patient-education-v1,,reviewed,
1090,Tuberculosis,Digital chest X-ray with AI-assisted reading is improving TB screening capacity in high-burden settings.,X-ray ea sefuba ea dijithale e nang le ho bala ho tshehetsoang ke AI e ntlafatsa bokgoni ba ho hlahlobeloa ha TB libakeng tse nang le morwalo o moholo.,WHO,tb-ai-xray,,reviewed,
2656,Medication Instructions,Inform your doctor if you are having difficulty with the size of the tablet.,Tsebisa ngaka ea hau haeba u na le bothata ba boholo ba pilisi.,WHO,medication-instructions-v1,,reviewed,
4241,Maternal and Child Health,My child has been diagnosed with hearing loss.,Ngoana oa ka o hlahlojoe ka ho lahleheloa ke kutlo.,WHO,maternal-child-health-v1,,reviewed,
289,HIV,Grief counselling is important for people who have lost loved ones to HIV.,Tokiso ya ho lla bo botsoa kelello la batho ba ileng ba shoa ka HIV.,SADAG,hiv-grief-counselling,,raw,
931,HIV,I am worried about what will happen to my children if I become very sick.,Ke na le khatello mabapi le seo se tla etsahalela bana ba ka haeba ke kula haholo.,clinical_fieldwork,patient-hiv-family-planning,,reviewed,
2536,Medication Instructions,Give the medicine to the child using a medicine dropper for precise dosing.,Fana ka moriana ho ngoana ka ho sebelisa medicine dropper bakeng sa ho nka dose ka nepo.,WHO,medication-instructions-v1,,reviewed,
4029,Maternal and Child Health,I tested positive for HIV during my antenatal visit.,Ke ile ka etswa skrini ya HIV mme ke ne ke le na HIV ka ha ke ntse ke ea kantong ya tšehetso ya batshelelo.,WHO,maternal-child-health-v1,,raw,
3372,Symptoms and Complaints,I have a rash that is accompanied by blistering.,Ke na le ho ruruha ha letlalo ho tsamaeang le li-blister.,WHO,symptoms-complaints-v1,,reviewed,
4622,General Patient Education,Physical activity does not have to be expensive or complicated.,Mesebetsi ea 'mele ha e hloke ho ba tšohle kapa ho raraana.,WHO,general-patient-education-v1,,reviewed,
3292,Symptoms and Complaints,I have a rash on my arms that is blistering.,Ke na le ho ruruha ha letlalo mapha a ka ho nang le li-blister.,WHO,symptoms-complaints-v1,,reviewed,
943,HIV,You have the right to ask questions about your treatment at any time.,U na le tokelo ea ho botsa lipotso mabapi le phekolo ea hau nako efe kapa efe.,clinical_fieldwork,clinician-patient-communication,,reviewed,
3860,Appointments and Follow-Up,I would like to know about the clinic's confidentiality policy.,Ke rata ho tseba ka leano la sephiri la kliniki.,WHO,appointments-followup-v1,,reviewed,
4663,General Patient Education,Uncontrolled hypertension increases the risk of heart attack and stroke.,Khatello e phahameng ea mali e sa laoloang e eketsa kotsi ea tlhaselo ea pelo le stroke.,WHO,general-patient-education-v1,,reviewed,
1699,Tuberculosis,Isoniazid has been used to treat tuberculosis since the 1950s.,Isoniazid e sebelisitsoe ho phekola tuberculosis ho tloha lilemong tsa bo-1950.,WHO,tb-isoniazid-history,,reviewed,
4709,General Patient Education,Maintain a healthy weight to reduce pressure on your joints.,Boloka boima bo botle ho fokotsa khatello maqhoeng a hao.,WHO,general-patient-education-v1,,reviewed,
3201,Symptoms and Complaints,I have been having episodes of sudden numbness on one side.,Ke ntse ke na le linako tsa ho fofa ka tšohanyetso lehlakoreng le le leng.,WHO,symptoms-complaints-v1,,reviewed,
4602,General Patient Education,"Drink water before, during, and after exercise.","Noa metsi pele, nakong, le ka mor'a ho itlama.",WHO,general-patient-education-v1,,reviewed,
4609,General Patient Education,Exercise helps people with TB regain their strength during recovery.,Ho itlama ho thusa batho ba nang le TB ho khutlisa matla a bona nakong ea ho fola.,WHO,general-patient-education-v1,,reviewed,
986,HIV,"Cognitive impairment associated with HIV can affect memory, concentration, and daily functioning.","Ho fokolehela ha mahutu ho amanang le HIV ho ka angoa ho hopola, ho tsepamisa kelello, le tšebetso ea letsatsi le leng le leng.",NIH_HIVinfo,hiv-neurocognitive,,reviewed,
3319,Symptoms and Complaints,I have redness and irritation in both eyes.,Ke na le bofubedu le ho khathatseha mahlong a ka a mabeli.,WHO,symptoms-complaints-v1,,reviewed,
2868,Symptoms and Complaints,I have a dull pain in my upper back.,Ke na le mahloko a fokolang mokokotlong oa ka o holimo.,WHO,symptoms-complaints-v1,,reviewed,
4057,Maternal and Child Health,I was told I have too much fluid around my baby.,Ke ile ka laledwa hore ke na le metsi a mangata kwa borarong.,WHO,maternal-child-health-v1,,raw,
4778,General Patient Education,Health insurance helps cover the cost of medical care.,Inshorense ea bophelo bo botle e thusa ho koahela theko ea tlhokomelo ea bongaka.,WHO,general-patient-education-v1,,reviewed,
982,HIV,Cytomegalovirus (CMV) retinitis can cause blindness in people with advanced HIV and requires urgent treatment.,Cytomegalovirus (CMV) retinitis e ka baka ho foufala ho batho ba nang le HIV e tsoelang pele mme e hloka phekolo ea potlako.,NIH_HIVinfo,hiv-cmv-retinitis,,reviewed,
2493,Medication Instructions,Do not mix the medicine with a full bottle of milk in case the child does not finish it.,U se ke ua kopanya moriana le botlolo e tletseng ea lebese haeba ngoana a ka se phete.,WHO,medication-instructions-v1,,reviewed,
3793,Appointments and Follow-Up,I should keep the clinic's contact number saved on my phone.,Ke lokela ho boloka nomoro ea ho ikopanya ea kliniki mohaling oa ka.,WHO,appointments-followup-v1,,reviewed,
3549,Appointments and Follow-Up,I would like to schedule an appointment for a TB treatment review.,Ke rata ho rerela appointment bakeng sa ho hlahloba phekolo ea TB.,WHO,appointments-followup-v1,,reviewed,
2943,Symptoms and Complaints,I have pain in my left ankle that radiates to my foot.,Ke na le mahloko ankele ea ka ea molema a isisoang leotong la ka.,WHO,symptoms-complaints-v1,,reviewed,
3528,Appointments and Follow-Up,I would like to book an appointment for a CD4 count test.,Ke rata ho buka appointment bakeng sa tlhahlobo ea palo ea CD4.,WHO,appointments-followup-v1,,reviewed,
3846,Appointments and Follow-Up,I would like to know if I will need surgery.,Ke rata ho tseba haeba ke tla hloka opereishene.,WHO,appointments-followup-v1,,reviewed,
1458,Tuberculosis,"The Global Fund to Fight AIDS, Tuberculosis and Malaria is a major funder of TB programmes worldwide.","Letlole la Lefatše la ho Loa AIDS, Tuberculosis le Malaria ke mofani o moholo oa mananeo a TB lefatšeng lohle.",WHO,tb-global-fund,,reviewed,
1396,Tuberculosis,BCG vaccination is given to newborns in most high TB burden countries at birth.,Ente ea BCG e fanoa ho maseea a sa tsoa tswaloa linaheng tse ngata tse nang le moroalo o moholo oa lefuba (TB) hang ha ba tswaloa,WHO,tb-bcg-schedule,,reviewed,
265,HIV,HIV research continues to advance towards a cure and an effective vaccine.,Tlhahlobo ya HIV e tsamaya pele ho ya ka lebelo la tsoho le vekswi e efetseng.,NIH_HIVinfo,hiv-research,,raw,
4096,Maternal and Child Health,I was shown how to breastfeed correctly by the nurse.,Ke ile ya bonyatsiwa ke nesi jaka ke bonyatsa ngwana wa ka sentle.,WHO,maternal-child-health-v1,,raw,
930,HIV,I have been on HIV treatment for five years and my health has improved greatly.,Ke holim'a phekolo ea HIV ka lilemo tse hlano mme bophelo ba ka bo ntlafetse haholo.,clinical_fieldwork,patient-art-long-term,,reviewed,
4872,General Patient Education,Mental health problems can affect anyone regardless of age or background.,Mathata a bophelo ba kelello a ka angoa motho e mong le e mong ntle le ho sheba lilomo kapa morao.,WHO,general-patient-education-v1,,reviewed,
2693,Medication Instructions,Do not take your medicine with iodine supplements unless instructed.,U se ke ua nka moriana oa hau le lisebelisoa tsa iodine ntle le haeba ho laetsoe.,WHO,medication-instructions-v1,,reviewed,
247,HIV,Young people need age-appropriate HIV education and prevention services.,Bacha ba hloka thuto ea HIV le litshebeletso tsa thibelo tse lokelang lilemo tsa bona.,UNICEF,hiv-adolescents,,reviewed,
3590,Appointments and Follow-Up,I would like to know if telehealth appointments are available.,Ke rata ho tseba haeba li-appointment tsa telehealth li fumaneha.,WHO,appointments-followup-v1,,reviewed,
1759,Tuberculosis,TB is curable — do not give up on your treatment.,TB e ka folisoa — u se ke ua tlohela phekolo ea hau.,DOH_SA,tb-motivational,,reviewed,
4866,General Patient Education,"Symptoms of anxiety include restlessness, racing heart, and difficulty sleeping.","Matšoao a ho tšoha a kenyelletsa ho se khutse, pelo e otlang ka potlako, le bothata ba ho robala.",WHO,general-patient-education-v1,,reviewed,
2811,Symptoms and Complaints,I have been having episodes of sudden swelling.,Ke ntse ke na le linako tsa ho ruruha ka tšohanyetso.,WHO,symptoms-complaints-v1,,reviewed,
924,HIV,My sister told me that HIV medicine will damage my kidneys and I am worried.,Khaitseli ea ka e mpoleletse hore meriana ea HIV e tla senya lipitso tsa ka mme ke na le khatello.,clinical_fieldwork,patient-art-misconceptions,,reviewed,
2881,Symptoms and Complaints,I have pain in my legs that keeps me awake at night.,Ke na le mahloko maotong a ka a ntšoang boroko bosiu.,WHO,symptoms-complaints-v1,,reviewed,
269,HIV,Community health workers can support people living with HIV to stay on treatment.,Baahi ba tshireletso ya setso ba ka thusa batho ba a na le HIV ho tsamaea le tshireletso.,WHO,hiv-community-support,,raw,
670,HIV,Ritonavir is used as a pharmacokinetic booster to increase levels of other protease inhibitors.,Ritonavir e sebelisoa e le moqhosi oa pharmacokinetic ho eketsa maemo a li-protease inhibitor tse ling.,NIH_HIVinfo,art-ritonavir-booster,,reviewed,
4476,General Patient Education,Brush your teeth at least twice a day.,Kolobetsa meno a hao bonyane habeli ka letsatsi.,WHO,general-patient-education-v1,,reviewed,
1911,Medication Instructions,Take two tablets twice daily for two weeks.,Nka lipilisi tse peli habeli ka letsatsi ka libeke tse peli.,WHO,medication-instructions-v1,,reviewed,
2986,Symptoms and Complaints,I have a sharp pain in my left knee.,Ke na le mahloko a bohale mangoleng a ka a molema.,WHO,symptoms-complaints-v1,,reviewed,
1153,Tuberculosis,TB treatment should be started as soon as the diagnosis is confirmed.,Phekolo ea TB e lokela ho qaloa hang hang ha tlhahlobo e netefatsoa.,WHO,tb-treatment-start,,reviewed,
4818,General Patient Education,Disclosure of your HIV status to your partner is important.,Ho tsebisa molekane oa hao boemo ba hao ba HIV ho bohlokoa.,WHO,general-patient-education-v1,,reviewed,
3456,Symptoms and Complaints,I have a feeling of incomplete emptying related to my kidneys.,Ke na le maikutlo a ho se phele ka botlalo a amanang le lipitso tsa ka.,WHO,symptoms-complaints-v1,,reviewed,
4242,Maternal and Child Health,My child has been referred to an audiologist.,Ngoana oa ka o romeloa ho audiologist.,WHO,maternal-child-health-v1,,reviewed,
4550,General Patient Education,Good nutrition speeds up recovery from illness.,Phepo e ntle e potlakisa ho fola ho tsoa bolwetseng.,WHO,general-patient-education-v1,,reviewed,
2173,Medication Instructions,Seek medical help if you develop confusion or memory problems.,Batla thuso ea ngaka haeba u ba le tsieleho kapa mathata a ho hopola.,WHO,medication-instructions-v1,,reviewed,
4516,General Patient Education,Attend community health education sessions at your local clinic.,Tla li-session tsa thuto ea bophelo bo botle ea sechaba klinikeng ea hao ea haufi.,WHO,general-patient-education-v1,,reviewed,
1916,Medication Instructions,Take two capsules three times daily for five days.,Nka li-capsule tse peli habeli ka letsatsi ka matsatsi a hlano.,WHO,medication-instructions-v1,,reviewed,
613,HIV,Side effects are one of the most common reasons people stop taking ART.,Litlamorao tsa moriana ke e 'ngoe ea mabaka a atileng ka ho fetisisa ao batho ba emang ho nka ART.,NIH_HIVinfo,hiv-adherence-side-effects,,reviewed,
2407,Medication Instructions,Do not stop taking your medicine because you missed a dose; continue the course.,U se ke ua emisa ho nka moriana oa hau hobane u lahlehetsoe ke dose; tsoela pele le khoroso.,WHO,medication-instructions-v1,,reviewed,
4206,Maternal and Child Health,My child was tested for malaria at the clinic.,Ngoana oa ka o hlahlojoe bakeng sa malaria klinikeng.,WHO,maternal-child-health-v1,,reviewed,
1899,Medication Instructions,Take two capsules once daily for seven days.,Nka li-capsule tse peli ka nako e le ngoe letsatsi le leng le le leng ka matsatsi a supileng.,WHO,medication-instructions-v1,,reviewed,
1650,Tuberculosis,Community-based TB care reduces the burden on health facilities and improves patient outcomes.,Tlhokomelo ea TB e thehiloeng sechabeng e fokotsa morwalo oa likamore tsa bophelo bo botle le ho ntlafatsa liphetho tsa bakuli.,WHO,tb-community-care,,reviewed,
2608,Medication Instructions,Inform your doctor if you are pregnant or planning to become pregnant.,Tsebisa ngaka ea hau haeba u mitsi kapa u rerela ho mitsa.,WHO,medication-instructions-v1,,reviewed,
259,HIV,The second 95 target aims for 95 percent of diagnosed people to be on ART.,Sepheo sa bobeli sa 95 se ikemiseditse hore batho ba 95 pesente ba fumaneng tlhahlobo ba be holim'a ART.,UNAIDS,hiv-95-95-95,,reviewed,
848,HIV,People should never be forced to disclose their HIV status against their will.,Batho ha ba lokela le ka mohla ho qobelloa ho senola boemo ba bona ba HIV khahlanong le thato ea bona.,UNAIDS,hiv-disclosure-rights,,reviewed,
4252,Maternal and Child Health,My child has been diagnosed with a urinary tract infection.,Ngoana oa ka o hlahlojoe ka ho hlohlona ha meeling ea moroto.,WHO,maternal-child-health-v1,,reviewed,
1234,Tuberculosis,Antacids containing aluminium or magnesium can reduce the absorption of some TB drugs.,Li-antacid tse nang le aluminium kapa magnesium li ka fokotsa ho monyela ha meriana e meng ea TB ’meleng.,NIH,tb-antacid-interaction,,reviewed,
1128,Tuberculosis,Overcrowded housing increases TB transmission risk within households and communities.,Malapa a tletse batho a eketsa kotsi ea phetisetso ea TB malapa le sechabeng.,WHO,tb-overcrowding-risk,,reviewed,
1968,Medication Instructions,Apply the transdermal patch and replace it every seventy-two hours.,Beha transdermal patch mme u e ntshe ka maho a mashome a supileng le metso e meli.,WHO,medication-instructions-v1,,reviewed,
559,HIV,Pets can be kept by people living with HIV but hygiene precautions should be followed.,"Batho ba phelang le HIV ba ka ba ba le diphoofolo, empa ba tšwelaletsweng ba etsele pele tša bohloeki.",CDC_HIVNexus,hiv-pets,,raw,
3906,Appointments and Follow-Up,I need help with transport to attend my appointments.,Ke hloka thuso ea lipalangoa ho tla li-appointment tsa ka.,WHO,appointments-followup-v1,,reviewed,
485,HIV,Multivitamin supplementation may benefit people living with HIV who have nutritional deficiencies.,Go sebedisa vitamine vitsi e ka ba thusa batho ba phelang le HIV ba na le maphelo a sa tsoa.,WHO,hiv-multivitamins,,raw,
1321,Tuberculosis,Dolutegravir 50mg twice daily can be used with rifampicin in TB/HIV co-infected patients.,Dolutegravir 50 mg habeli ka letsatsi e ka sebelisoa le rifampicin ho bakuli ba nang le tšoaetso e kopaneng ea TB/HIV.,WHO,tb-hiv-dolutegravir,,reviewed,
3405,Symptoms and Complaints,I have severe menstrual cramps.,Ke na le ho tšoaroa ha nako ea khoeli ho matla.,WHO,symptoms-complaints-v1,,reviewed,
8,HIV,Taking ART at the same time every day helps maintain the right level of medicine in your blood.,Ho nwa phekolo ea lithibela-mafofore (ART) ka nako e tšoanang letsatsi le leng le le leng ho thusa ho boloka boemo bo nepahetseng ba moriana maling a hau.,CDC_HIVNexus,art-adherence,,reviewed,
3280,Symptoms and Complaints,I have weakness in my right foot and cannot point my toes.,Ke na le ho fokotsehela leotong la ka la le letona mme ha ke khone ho supa menwane ea maoto.,WHO,symptoms-complaints-v1,,reviewed,
3190,Symptoms and Complaints,I have numbness and tingling in my hands and feet.,Ke na le ho fofa le ho hlohlona matsoho le maoto a ka.,WHO,symptoms-complaints-v1,,reviewed,
1451,Tuberculosis,Universal health coverage is a prerequisite for achieving the End TB targets.,Koahelo ea bophelo bo botle ea bohle ke tlhoko ea pele ho fihlela lipheo tsa ho Felisa TB.,WHO,tb-uhc-end-tb,,reviewed,
3981,Appointments and Follow-Up,I left my appointment feeling informed and supported.,Ke tlohetse appointment ea ka ke ikutloa ke tsebisitsoe le ho tsheheltsoa.,WHO,appointments-followup-v1,,reviewed,
1815,Medication Instructions,Take one tablet with breakfast every morning.,Nka pilisi e le ngoe le dijo tsa hoseng hoseng hoa hoseng.,WHO,medication-instructions-v1,,reviewed,
774,HIV,Broadly neutralising antibodies can suppress HIV in people who stop ART.,Li-antibody tse phanyolang ka bophara li ka laola HIV ho batho ba emang ART.,NIH_HIVinfo,hiv-bnab-trials,,reviewed,
1012,Tuberculosis,Pulmonary TB is the most common and most infectious form of the disease.,TB ea matšoafo ke mofuta o atileng ka ho fetisisa le o fetisoang ka ho fetisisa oa bolwetse.,CDC,tb-pulmonary,,reviewed,
2819,Symptoms and Complaints,I have been having episodes of sudden joint pain.,Ke ntse ke na le linako tsa mahloko a maqhoa ka tšohanyetso.,WHO,symptoms-complaints-v1,,reviewed,
3276,Symptoms and Complaints,I have weakness in my left hand and cannot write.,Ke na le ho fokotsehela sepateng sa ka sa molema mme ha ke khone ho ngola.,WHO,symptoms-complaints-v1,,reviewed,
1992,Medication Instructions,Instil the ear drops by tilting the head to one side and pulling the ear upward.,Kenya litšoelelo tsa tsebe ka ho kekela hlooho lehlakoreng le le leng mme u hohele tsebe holimo.,WHO,medication-instructions-v1,,reviewed,
1278,Tuberculosis,Linezolid is an oxazolidinone antibiotic used in MDR-TB regimens but carries significant toxicity risks.,"Linezolid ke sebolaya-mafu sa oxazolidinone se sebelisoang meralong ea kalafo ea MDR-TB, empa se na le likotsi tse kholo tsa chefo.",WHO,tb-linezolid,,reviewed,
1784,Tuberculosis,TB bacteria can develop resistance when patients take irregular or incomplete doses.,Bakteria ea TB e ka hlaha khakanyo ha bakuli ba nka li-dose tse sa tloaelehang kapa tse sa phethehang.,WHO,tb-patch-final,,reviewed,
3106,Symptoms and Complaints,I have a pain in my lower right abdomen that is constant.,Ke na le mahloko mpeng ea ka e tlase ea le letona a tsoelang pele.,WHO,symptoms-complaints-v1,,reviewed,
447,HIV,Gender inequality and power imbalances increase women's vulnerability to HIV.,Ho se lekane ha bong le ho se lekane ha matla ho eketsa bokoa ba basali ho HIV.,WHO,hiv-gender,,reviewed,
881,HIV,Contraceptive counselling should be offered to all HIV-positive women of reproductive age.,Keletso ea thibelo ea ho ima e lokela ho fanoa ho basali bohle ba nang le HIV ba lilemo tsa ho tsoa le bana.,WHO,hiv-contraception-counselling,,reviewed,
4460,General Patient Education,Understanding your treatment empowers you to take control of your health.,Ho utloisisa phekolo ea hao ho o mpha matla a ho laola bophelo ba hao.,WHO,general-patient-education-v1,,reviewed,
