sentence_id,domain_category,english_text
4172,Maternal and Child Health,I was told a mild fever after vaccination is normal.
4173,Maternal and Child Health,I was told to give my baby paracetamol if they develop a fever.
4174,Maternal and Child Health,My baby has not received all the required vaccinations.
4175,Maternal and Child Health,I lost my child's road-to-health booklet and need a new one.
4176,Maternal and Child Health,I would like to know if my child's vaccinations are up to date.
4177,Maternal and Child Health,My child missed a vaccination and I need to catch up.
4178,Maternal and Child Health,I was told my child needs a catch-up vaccination schedule.
4179,Maternal and Child Health,I have brought my child for a growth monitoring visit.
4180,Maternal and Child Health,My child's weight has not increased since the last visit.
4181,Maternal and Child Health,My child is losing weight and I am worried.
4182,Maternal and Child Health,My child is not growing as expected for their age.
4183,Maternal and Child Health,I was told my child is underweight and needs nutritional support.
4184,Maternal and Child Health,My child was referred to the nutrition programme at the clinic.
4185,Maternal and Child Health,I was given therapeutic food for my malnourished child.
4186,Maternal and Child Health,My child has been diagnosed with severe acute malnutrition.
4187,Maternal and Child Health,My child was admitted to hospital for malnutrition treatment.
4188,Maternal and Child Health,I was told to give my child ready-to-use therapeutic food.
4189,Maternal and Child Health,I was given advice on how to prepare nutritious meals for my child.
4190,Maternal and Child Health,My child has been refusing to eat for the past few days.
4191,Maternal and Child Health,My child is very thin and I am concerned about their health.
4192,Maternal and Child Health,My child has a swollen abdomen and swollen feet.
4193,Maternal and Child Health,I was told my child has kwashiorkor.
4194,Maternal and Child Health,My child has been diagnosed with marasmus.
4195,Maternal and Child Health,I was given a vitamin A supplement for my child.
4196,Maternal and Child Health,My child was given deworming medication at the clinic.
4197,Maternal and Child Health,I was told to give my child deworming tablets every six months.
4198,Maternal and Child Health,My child has been diagnosed with anaemia.
4199,Maternal and Child Health,My child was given iron syrup for anaemia.
4200,Maternal and Child Health,My child has been having frequent diarrhoea.
